Order ID: ORD012543 | Customer ID: CUST9886 | Platform: Swiggy Instamart | OrderDateTime: 36:29.5 | Delivery time: 27 | Product Category: Beverages | Order value: 362 | Customer Feedback: Very satisfied with the service. | Service Rating: 5 | Delivery Delay: No | Refund Requested: No
Order ID: ORD027681 | Customer ID: CUST3840 | Platform: Swiggy Instamart | OrderDateTime: 12:29.5 | Delivery time: 25 | Product Category: Fruits & Vegetables | Order value: 298 | Customer Feedback: Not fresh, disappointed. | Service Rating: 2 | Delivery Delay: No | Refund Requested: Yes
Order ID: ORD006574 | Customer ID: CUST4622 | Platform: Swiggy Instamart | OrderDateTime: 48:29.5 | Delivery time: 27 | Product Category: Beverages | Order value: 901 | Customer Feedback: Very late delivery, not happy. | Service Rating: 2 | Delivery Delay: No | Refund Requested: Yes
Order ID: ORD049264 | Customer ID: CUST5013 | Platform: Swiggy Instamart | OrderDateTime: 08:29.5 | Delivery time: 32 | Product Category: Fruits & Vegetables | Order value: 208 | Customer Feedback: Not fresh, disappointed. | Service Rating: 2 | Delivery Delay: No | Refund Requested: Yes
Order ID: ORD016372 | Customer ID: CUST2897 | Platform: Swiggy Instamart | OrderDateTime: 27:29.5 | Delivery time: 38 | Product Category: Fruits & Vegetables | Order value: 375 | Customer Feedback: Horrible experience, never ordering again. | Service Rating: 1 | Delivery Delay: No | Refund Requested: Yes
Order ID: ORD055028 | Customer ID: CUST5079 | Platform: Swiggy Instamart | OrderDateTime: 57:29.5 | Delivery time: 19 | Product Category: Beverages | Order value: 498 | Customer Feedback: Excellent experience! | Service Rating: 5 | Delivery Delay: No | Refund Requested: No
Order ID: ORD020076 | Customer ID: CUST9631 | Platform: Swiggy Instamart | OrderDateTime: 10:29.5 | Delivery time: 31 | Product Category: Snacks | Order value: 222 | Customer Feedback: Items missing from order. | Service Rating: 2 | Delivery Delay: No | Refund Requested: Yes
Order ID: ORD078966 | Customer ID: CUST7104 | Platform: Swiggy Instamart | OrderDateTime: 09:29.5 | Delivery time: 26 | Product Category: Dairy | Order value: 350 | Customer Feedback: Items missing from order. | Service Rating: 2 | Delivery Delay: No | Refund Requested: Yes
Order ID: ORD034035 | Customer ID: CUST1039 | Platform: Swiggy Instamart | OrderDateTime: 21:29.5 | Delivery time: 21 | Product Category: Personal Care | Order value: 1816 | Customer Feedback: Packaging could be better. | Service Rating: 3 | Delivery Delay: No | Refund Requested: No
Order ID: ORD079762 | Customer ID: CUST3910 | Platform: Swiggy Instamart | OrderDateTime: 58:29.5 | Delivery time: 20 | Product Category: Snacks | Order value: 176 | Customer Feedback: Horrible experience, never ordering again. | Service Rating: 1 | Delivery Delay: No | Refund Requested: Yes
Order ID: ORD034657 | Customer ID: CUST4487 | Platform: Swiggy Instamart | OrderDateTime: 36:29.5 | Delivery time: 23 | Product Category: Personal Care | Order value: 1680 | Customer Feedback: Good quality products. | Service Rating: 4 | Delivery Delay: No | Refund Requested: No
Order ID: ORD017568 | Customer ID: CUST5360 | Platform: Swiggy Instamart | OrderDateTime: 15:29.5 | Delivery time: 25 | Product Category: Snacks | Order value: 250 | Customer Feedback: Very satisfied with the service. | Service Rating: 5 | Delivery Delay: No | Refund Requested: No
Order ID: ORD062826 | Customer ID: CUST4519 | Platform: Swiggy Instamart | OrderDateTime: 47:29.5 | Delivery time: 25 | Product Category: Snacks | Order value: 339 | Customer Feedback: Wrong item delivered. | Service Rating: 1 | Delivery Delay: No | Refund Requested: Yes
Order ID: ORD093170 | Customer ID: CUST1393 | Platform: Swiggy Instamart | OrderDateTime: 12:29.5 | Delivery time: 27 | Product Category: Grocery | Order value: 864 | Customer Feedback: Very late delivery, not happy. | Service Rating: 2 | Delivery Delay: No | Refund Requested: Yes
Order ID: ORD002773 | Customer ID: CUST3161 | Platform: Swiggy Instamart | OrderDateTime: 58:29.5 | Delivery time: 16 | Product Category: Fruits & Vegetables | Order value: 139 | Customer Feedback: Quick and reliable! | Service Rating: 5 | Delivery Delay: No | Refund Requested: No
Order ID: ORD065236 | Customer ID: CUST9208 | Platform: Swiggy Instamart | OrderDateTime: 35:29.5 | Delivery time: 39 | Product Category: Dairy | Order value: 612 | Customer Feedback: Easy to order, loved it! | Service Rating: 5 | Delivery Delay: No | Refund Requested: No
Order ID: ORD083602 | Customer ID: CUST1408 | Platform: Swiggy Instamart | OrderDateTime: 50:29.5 | Delivery time: 29 | Product Category: Grocery | Order value: 1174 | Customer Feedback: Very satisfied with the service. | Service Rating: 5 | Delivery Delay: No | Refund Requested: No
Order ID: ORD096502 | Customer ID: CUST7495 | Platform: Swiggy Instamart | OrderDateTime: 16:29.5 | Delivery time: 36 | Product Category: Snacks | Order value: 81 | Customer Feedback: Horrible experience, never ordering again. | Service Rating: 1 | Delivery Delay: No | Refund Requested: Yes
Order ID: ORD087588 | Customer ID: CUST3206 | Platform: Swiggy Instamart | OrderDateTime: 36:29.5 | Delivery time: 11 | Product Category: Dairy | Order value: 636 | Customer Feedback: Delivery person was rude. | Service Rating: 2 | Delivery Delay: No | Refund Requested: Yes
Order ID: ORD078179 | Customer ID: CUST4097 | Platform: Swiggy Instamart | OrderDateTime: 10:29.5 | Delivery time: 16 | Product Category: Grocery | Order value: 1240 | Customer Feedback: Very late delivery, not happy. | Service Rating: 2 | Delivery Delay: No | Refund Requested: Yes
Order ID: ORD080797 | Customer ID: CUST9508 | Platform: Swiggy Instamart | OrderDateTime: 31:29.5 | Delivery time: 45 | Product Category: Dairy | Order value: 173 | Customer Feedback: Fast delivery, great service! | Service Rating: 5 | Delivery Delay: Yes | Refund Requested: No
Order ID: ORD002960 | Customer ID: CUST7870 | Platform: Swiggy Instamart | OrderDateTime: 29:29.5 | Delivery time: 53 | Product Category: Personal Care | Order value: 856 | Customer Feedback: Easy to order, loved it! | Service Rating: 5 | Delivery Delay: Yes | Refund Requested: No
Order ID: ORD055214 | Customer ID: CUST5922 | Platform: Swiggy Instamart | OrderDateTime: 27:29.5 | Delivery time: 25 | Product Category: Fruits & Vegetables | Order value: 105 | Customer Feedback: Very satisfied with the service. | Service Rating: 5 | Delivery Delay: No | Refund Requested: No
Order ID: ORD069059 | Customer ID: CUST2600 | Platform: Swiggy Instamart | OrderDateTime: 23:29.5 | Delivery time: 36 | Product Category: Dairy | Order value: 752 | Customer Feedback: Easy to order, loved it! | Service Rating: 5 | Delivery Delay: No | Refund Requested: No
Order ID: ORD076632 | Customer ID: CUST6364 | Platform: Swiggy Instamart | OrderDateTime: 26:29.5 | Delivery time: 25 | Product Category: Dairy | Order value: 442 | Customer Feedback: Items missing from order. | Service Rating: 2 | Delivery Delay: No | Refund Requested: Yes
Order ID: ORD014936 | Customer ID: CUST7249 | Platform: Swiggy Instamart | OrderDateTime: 27:29.5 | Delivery time: 22 | Product Category: Dairy | Order value: 774 | Customer Feedback: Items missing from order. | Service Rating: 2 | Delivery Delay: No | Refund Requested: Yes
Order ID: ORD012607 | Customer ID: CUST4144 | Platform: Swiggy Instamart | OrderDateTime: 02:29.5 | Delivery time: 31 | Product Category: Dairy | Order value: 290 | Customer Feedback: Excellent experience! | Service Rating: 5 | Delivery Delay: No | Refund Requested: No
Order ID: ORD066272 | Customer ID: CUST5161 | Platform: Swiggy Instamart | OrderDateTime: 06:29.5 | Delivery time: 40 | Product Category: Personal Care | Order value: 1460 | Customer Feedback: Very late delivery, not happy. | Service Rating: 2 | Delivery Delay: No | Refund Requested: Yes
Order ID: ORD021711 | Customer ID: CUST4471 | Platform: Swiggy Instamart | OrderDateTime: 31:29.5 | Delivery time: 63 | Product Category: Fruits & Vegetables | Order value: 242 | Customer Feedback: Excellent experience! | Service Rating: 5 | Delivery Delay: Yes | Refund Requested: No
Order ID: ORD066703 | Customer ID: CUST8714 | Platform: Swiggy Instamart | OrderDateTime: 53:29.5 | Delivery time: 25 | Product Category: Beverages | Order value: 821 | Customer Feedback: Fast delivery, great service! | Service Rating: 5 | Delivery Delay: No | Refund Requested: No
Order ID: ORD082367 | Customer ID: CUST6058 | Platform: Swiggy Instamart | OrderDateTime: 12:29.5 | Delivery time: 22 | Product Category: Dairy | Order value: 564 | Customer Feedback: Quick and reliable! | Service Rating: 5 | Delivery Delay: No | Refund Requested: No
Order ID: ORD028812 | Customer ID: CUST5132 | Platform: Swiggy Instamart | OrderDateTime: 21:29.5 | Delivery time: 30 | Product Category: Beverages | Order value: 314 | Customer Feedback: Very late delivery, not happy. | Service Rating: 2 | Delivery Delay: No | Refund Requested: Yes
