Order ID,Customer ID,Platform,OrderDateTime,Delivery time,Product Category,Order value,Customer Feedback,Service Rating,Delivery Delay,Refund Requested
ORD012543,CUST9886,Swiggy Instamart,36:29.5,27,Beverages,362,Very satisfied with the service.,5,No,No
ORD027681,CUST3840,Swiggy Instamart,12:29.5,25,Fruits & Vegetables,298,"Not fresh, disappointed.",2,No,Yes
ORD006574,CUST4622,Swiggy Instamart,48:29.5,27,Beverages,901,"Very late delivery, not happy.",2,No,Yes
ORD049264,CUST5013,Swiggy Instamart,08:29.5,32,Fruits & Vegetables,208,"Not fresh, disappointed.",2,No,Yes
ORD016372,CUST2897,Swiggy Instamart,27:29.5,38,Fruits & Vegetables,375,"Horrible experience, never ordering again.",1,No,Yes
ORD055028,CUST5079,Swiggy Instamart,57:29.5,19,Beverages,498,Excellent experience!,5,No,No
ORD020076,CUST9631,Swiggy Instamart,10:29.5,31,Snacks,222,Items missing from order.,2,No,Yes
ORD078966,CUST7104,Swiggy Instamart,09:29.5,26,Dairy,350,Items missing from order.,2,No,Yes
ORD034035,CUST1039,Swiggy Instamart,21:29.5,21,Personal Care,1816,Packaging could be better.,3,No,No
ORD079762,CUST3910,Swiggy Instamart,58:29.5,20,Snacks,176,"Horrible experience, never ordering again.",1,No,Yes
ORD034657,CUST4487,Swiggy Instamart,36:29.5,23,Personal Care,1680,Good quality products.,4,No,No
ORD017568,CUST5360,Swiggy Instamart,15:29.5,25,Snacks,250,Very satisfied with the service.,5,No,No
ORD062826,CUST4519,Swiggy Instamart,47:29.5,25,Snacks,339,Wrong item delivered.,1,No,Yes
ORD093170,CUST1393,Swiggy Instamart,12:29.5,27,Grocery,864,"Very late delivery, not happy.",2,No,Yes
ORD002773,CUST3161,Swiggy Instamart,58:29.5,16,Fruits & Vegetables,139,Quick and reliable!,5,No,No
ORD065236,CUST9208,Swiggy Instamart,35:29.5,39,Dairy,612,"Easy to order, loved it!",5,No,No
ORD083602,CUST1408,Swiggy Instamart,50:29.5,29,Grocery,1174,Very satisfied with the service.,5,No,No
ORD096502,CUST7495,Swiggy Instamart,16:29.5,36,Snacks,81,"Horrible experience, never ordering again.",1,No,Yes
ORD087588,CUST3206,Swiggy Instamart,36:29.5,11,Dairy,636,Delivery person was rude.,2,No,Yes
